Month,Year,Rainfall,WPI
4,2012,47.5,107.7
5,2012,31.7,109.3
6,2012,117.8,107
7,2012,250.2,113.9
8,2012,262.4,120.7
9,2012,193.5,121.7
10,2012,58.7,114.8
11,2012,30.7,120.4
12,2012,11.7,127.7
1,2013,11.3,131.6
2,2013,40.1,132.7
3,2013,15.7,132.5
4,2013,30.4,136.4
5,2013,57.8,137.6
6,2013,219.8,136.9
7,2013,310,135.3
8,2013,254.7,131
9,2013,152.7,130.9
10,2013,129.4,129.7
11,2013,14,129.5
12,2013,6.7,131.1
1,2014,19.2,132.3
2,2014,27.4,131.5
3,2014,36.1,133.6
4,2014,22.2,134.4
5,2014,72.9,134.6
6,2014,95.4,132.5
7,2014,261.2,134.4
8,2014,237.5,133.2
9,2014,188,133.9
10,2014,60.2,129.3
11,2014,14.4,125.6
12,2014,10.7,123.9
1,2015,17.4,125
2,2015,21,123.2
3,2015,62,124.8
4,2015,69.4,127.3
5,2015,53.8,126.7
6,2015,192.8,125.2
7,2015,242.4,124.3
8,2015,205.2,127.4
9,2015,131.8,132.2
10,2015,42.9,132.7
11,2015,39.4,135.3
12,2015,15,139.2
1,2016,19.3,142.9
2,2016,22.8,144.2
3,2016,27.6,147.7
4,2016,37.4,155.8
5,2016,62.6,162.6
6,2016,168.3,158.7
7,2016,289.1,159.6
8,2016,256.3,159.3
9,2016,171.9,155.1
10,2016,76.1,148.1
11,2016,29.7,151
12,2016,14.9,154.7
1,2017,19,151.9
2,2017,22.6,151.3
3,2017,27.8,152.6
4,2017,37.9,153.8
5,2017,62.4,153.2
6,2017,168.1,149.7
7,2017,289.3,145.4
8,2017,256.2,143.8
9,2017,171.5,139.4
10,2017,76.3,132.9
11,2017,29.9,130.2
12,2017,15,133.9
1,2018,19.2,131.7
2,2018,20.1,127.9
3,2018,27.1,126.8
4,2018,40.2,127
5,2018,62.7,128.1
6,2018,165,129.5
7,2018,286.3,132.9
8,2018,254.3,138.2
9,2018,171.9,141.7
10,2018,77.2,148.6
11,2018,28.1,161.7
12,2018,14.1,165.1
4,2019,47.5,97.1
5,2019,31.7,99.7
6,2019,117.8,101.6
7,2019,250.2,108.6
8,2019,262.4,115.6
9,2019,193.5,118.6
10,2019,58.7,116.3
11,2019,30.7,114.4
12,2019,11.7,110.2
1,2019,11.3,109.1
2,2019,40.1,110.6
3,2019,15.7,116.3
4,2019,30.4,118.1
5,2019,57.8,118.2
6,2019,219.8,117.7
7,2019,310,116.5
8,2019,254.7,116.7
9,2019,152.7,117.2
10,2019,129.4,118.4
11,2019,14,119
12,2019,6.7,118.4
1,2020,19.2,118.1
2,2020,27.4,118.4
3,2020,36.1,119
4,2020,22.2,120.6
5,2020,72.9,121
6,2020,95.4,120.1
7,2020,261.2,122.2
8,2020,237.5,126.8
9,2020,188,126.5
10,2020,60.2,126.3
11,2020,14.4,127.7
12,2020,10.7,128.2
1,2020,17.4,134.3
2,2020,21,139.1
3,2020,62,144.8
4,2020,69.4,148.4
5,2020,53.8,157.3
6,2020,192.8,173.7
7,2020,242.4,174.8
8,2020,205.2,185.5
9,2020,131.8,196.9
10,2020,42.9,219
11,2020,39.4,217.1
12,2020,15,222.8
1,2020,19.3,215.8
2,2020,22.8,205.5
3,2020,27.6,201.2
4,2020,37.4,217.5
5,2020,62.6,216.8
6,2020,168.3,217.2
7,2020,289.1,215.1
8,2020,256.3,195
9,2020,171.9,184.6
10,2020,76.1,182.4
11,2020,29.7,178.9
12,2020,14.9,166
1,2021,19,140.7
2,2021,22.6,133.1
3,2021,27.8,126
4,2021,37.9,127.2
5,2021,62.4,121.6
6,2021,168.1,118.3
7,2021,289.3,114.1
8,2021,256.2,115.4
9,2021,171.5,118.4
10,2021,76.3,113.8
11,2021,29.9,111.6
12,2021,15,112.6
1,2022,19.2,114.9
2,2022,20.1,116.5
3,2022,27.1,116.6
4,2022,40.2,115.3
5,2022,62.7,115.9
6,2022,165,113.2
7,2022,286.3,111.2
8,2022,254.3,110.8
9,2022,171.9,110.8
10,2022,77.2,109.4
11,2022,28.1,114
12,2022,14.1,123.9
